program_name,university,comments,date_added,entry_url,applicant_status,acceptance_date,rejection_date,start_term,student_type,gre_score,gre_v_score,degree,gpa,gre_aw,raw_listing,source_page,initial_cluster,final_cluster
Chemistry,University of California (UCLA),,University of California (UCLA),https://www.thegradcafe.com/result/1020202,Rejected,,May 13,Fall 2026,American,,,PhD,3.88,,"University of California (UCLA) Chemistry PhD May 13, 2026 Rejected on May 13 Total comments",https://www.thegradcafe.com/survey?page=5&sort=newest,7,11
Instructional Leadership,University of Alabama,,University of Alabama,https://www.thegradcafe.com/result/1020201,Accepted,May 13,,Fall 2026,American,,,PhD,4.0,,"University of Alabama Instructional Leadership PhD May 13, 2026 Accepted on May 13 Total comments",https://www.thegradcafe.com/survey?page=5&sort=newest,25,3
Computer Science,University of Southern California,,University of Southern California,https://www.thegradcafe.com/result/1020200,Accepted,May 10,,Fall 2026,American,,,Masters,,,"University of Southern California Computer Science Masters May 13, 2026 Accepted on May 10 Total comments",https://www.thegradcafe.com/survey?page=5&sort=newest,1,2
Computer Science,University of British Columbia,,University of British Columbia,https://www.thegradcafe.com/result/1020199,Rejected,,May 13,Fall 2026,International,,,Masters,,,"University of British Columbia Computer Science Masters May 13, 2026 Rejected on May 13 Total comments",https://www.thegradcafe.com/survey?page=5&sort=newest,1,2
SLST,York University,,York University,https://www.thegradcafe.com/result/1020198,Accepted,Feb 25,,Fall 2026,,,,PhD,4.0,,"York University SLST PhD May 13, 2026 Accepted on Feb 25 Total comments",https://www.thegradcafe.com/survey?page=5&sort=newest,25,3
Chemistry,University of California (UCLA),,University of California (UCLA),https://www.thegradcafe.com/result/1020197,Rejected,,May 13,Fall 2026,International,165.0,150.0,PhD,3.65,3.0,"University of California (UCLA) Chemistry PhD May 13, 2026 Rejected on May 13 Total comments",https://www.thegradcafe.com/survey?page=5&sort=newest,7,11
Computer Science,University of Toronto,,University of Toronto,https://www.thegradcafe.com/result/1020196,Rejected,,May 08,Fall 2026,International,,,PhD,3.91,,"University of Toronto Computer Science PhD May 13, 2026 Rejected on May 08 Total comments",https://www.thegradcafe.com/survey?page=5&sort=newest,1,2
MDSH,University of California (UCLA),,University of California (UCLA),https://www.thegradcafe.com/result/1020195,Accepted,Apr 23,,Fall 2026,International,,,Masters,3.27,,"University of California (UCLA) MDSH Masters May 13, 2026 Accepted on Apr 23 Total comments",https://www.thegradcafe.com/survey?page=5&sort=newest,25,3
Mechanical And Aerospace Engineering,"University of California, San Diego",,"University of California, San Diego",https://www.thegradcafe.com/result/1020194,Rejected,,May 08,Fall 2026,American,,,Masters,3.27,,"University of California, San Diego Mechanical And Aerospace Engineering Masters May 13, 2026 Rejected on May 08 Total comments",https://www.thegradcafe.com/survey?page=5&sort=newest,8,48
Statistics,Purdue University,,Purdue University,https://www.thegradcafe.com/result/1020193,Accepted,May 05,,Fall 2026,American,,,Masters,3.9,,"Purdue University Statistics Masters May 13, 2026 Accepted on May 05 Total comments",https://www.thegradcafe.com/survey?page=5&sort=newest,18,7
